sample	amp_chr_1p_NOTCH2	amp_chr_1q_CKS1B	amp_chr_2p	amp_chr_2q	amp_chr_3p	amp_chr_3q	amp_chr_4p	amp_chr_4q	amp_chr_5p	amp_chr_5q	amp_chr_6p	amp_chr_6q	amp_chr_7p	amp_chr_7q	amp_chr_8p	amp_chr_8q_MYC	amp_chr_8q_MYC_enhancer	amp_chr_9p	amp_chr_9q	amp_chr_10p	amp_chr_10q	amp_chr_11p	amp_chr_11q_CCND1	amp_chr_12p	amp_chr_12q	amp_chr_13q	amp_chr_14q	amp_chr_15q	amp_chr_16p	amp_chr_16q	amp_chr_17p	amp_chr_17q	amp_chr_18p	amp_chr_18q	amp_chr_19p	amp_chr_19q	amp_chr_20p	amp_chr_20q	amp_chr_21q	amp_chr_22q	del_chr_1p_CDKN2C	del_chr_1p_EVI5	del_chr_1p_TENT5C	del_chr_1q	del_chr_2p	del_chr_2q	del_chr_3p	del_chr_3q	del_chr_4p	del_chr_4q	del_chr_5p	del_chr_5q	del_chr_6p	del_chr_6q	del_chr_7p	del_chr_7q	del_chr_8p	del_chr_8q	del_chr_9p	del_chr_9q	del_chr_10p	del_chr_10q_NFKB2	del_chr_11p	del_chr_11q_BIRC2	del_chr_12p	del_chr_12q	del_chr_13q_RB1	del_chr_14q_MAX	del_chr_14q_TRAF3	del_chr_15q	del_chr_16p	del_chr_16q_CYLD	del_chr_17p_TP53	del_chr_17q	del_chr_18p	del_chr_18q	del_chr_19p	del_chr_19q	del_chr_20p	del_chr_20q	del_chr_21q	del_chr_22q
MMRF_1602_1_BM_CD138pos_pair	0.006	0.006	0.017	0.01	0.006	0.006	0.011	0.01	0	0	0.017	0.017	0	0	0.016	0.007	0.007	0.01	0	0.011	0.011	0.009	0	0.031	0.031	0	0	0	0	0	0	0	0.004	0.004	0	0	0.036	0.036	0.015	0	0	0	0	0	0	0	0	0	0	0	0.003	0.003	0	0	0.006	0.002	0	0.657	0	0.036	0	0	0	0	0	0	0.678	0.635	0	0.002	0.017	0.027	0.018	0.009	0	0	0.018	0.021	0	0	0	0.659
MMRF_1603_1_BM_CD138pos_pair	0	0.728	0.84	0.836	0.211	0.211	0.019	0.019	1	1	0.024	0.025	0	0	0	0.019	0.019	0.764	0.907	0.004	0.004	0.724	0.166	0.058	0.058	0	0	1	0	0.206	0	0	0.005	0.005	0.869	0.869	0.032	0.032	0.003	1	0.025	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0.035	0.032	0.039	0	0	0	0	0.008	0	0	0	0	0.746	0.979	0	0	0.019	0	0.099	0.087	0	0	0	0	0	0	0	0
MMRF_1605_1_BM_CD138pos_pair	0.03	0	0.028	0.013	0	0	0.021	0.013	0.979	0.979	0.034	0.034	0	0	0	0	0	0	0	0.014	0.014	0	0	0.043	0.05	0	0	0	0.02	0	0	0.905	0.012	0.012	0	0	0.054	0.028	0.01	0.083	0	0	0	0.014	0	0	0.013	0.012	0	0	0	0	0	0	0.023	0.023	0.968	0.968	0.008	0.069	0	0	0.033	0.045	0	0	0.95	0.855	0.855	0.027	0	0.936	0.017	0	0	0	0.054	0.045	0	0	0	0
MMRF_1607_1_BM_CD138pos_pair	0.054	0.054	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001	0.001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0.087	0	0	0	0	0	0	0	0	0
MMRF_1608_1_BM_CD138pos_pair	0	0.016	0	0	0	0	0	0.012	1	1	1	1	0	0	0.006	0.003	0.003	1	1	0	0	0.95	1	0.014	0.014	0.033	0.029	0.99	0.009	0	0	0	0	0	0.952	0.981	0.004	0	1	0.008	0	0	0	0	0.014	0.016	0.063	0.063	0.022	0	0	0	0	0	0.091	0.091	0	0.001	0	0	0.006	0.013	0	0	0	0	0	0	0	0	0	1	0.076	0.107	0.024	0.024	0	0	0	0.016	0	0
MMRF_1610_1_BM_CD138pos_pair	1	0	0	0	0	0	0.004	0.017	0.009	0.001	0.031	0.029	0	0	0.005	0.018	0.018	0.044	0	0	0	0	1	0.025	0.041	0	0	0	0	0	0	0	0.002	0.002	0	0	0.036	0.1	0.037	0.011	0	0	0	0.068	0.007	0.005	0.01	0.009	0	0	0	0	0	0	0.018	0.018	0	0	0	0.063	0.004	0	0.014	0.008	0	0	0.973	0	0	0.02	0.025	0.023	0.013	0.066	0	0	0.078	0.059	0	0	0	0
MMRF_1613_1_BM_CD138pos_pair	0.043	0.792	0	0	0.961	0.942	0	0	0	0	0.009	0.009	0	0	0.015	0.022	0.022	0.002	0	0	0	0	0	0.027	0.027	0	0	0.913	0	0	0	0	0	0	0	0	0.042	0.009	0	0.039	0	0.957	0	0	0.014	0.01	0	0	0.002	0.002	0.008	0.006	0	0	0.05	0.039	0	0	0	0.077	0.022	0.012	0.026	0.993	0	0	0.93	0.907	0	0	0.01	0	0.957	0.079	0.014	0.026	0.089	0.089	0	0	0.025	0
MMRF_1614_1_BM_CD138pos_pair	0.012	0	0	0	1	1	0	0	1	1	0.028	0.017	1	0.986	0.093	1	0.119	0.953	0.953	0	0	0.94	0.921	0.024	0.024	0.051	0.044	1	0	0	0	0	0	0	1	1	0.007	0.007	1	0.011	0	1	0	0.017	0.002	0.011	0	0	0.026	0.026	0	0	0	0	0	0	0	0	0	0	0.003	0.012	0	0	0	0	0	0	0	0	0.082	0.46	0.326	0.304	0.024	0.024	0	0	0	0	0	0
MMRF_1617_1_BM_CD138pos_pair	0.003	0.003	0.003	0.019	0	0	0	0	0	0.009	0	0.025	0	0	0	0	0	0	0	0.032	0.011	0	0.982	0.003	0.003	0	0.06	0	0	0.001	0	0.015	0	0	0	0	0.003	0.045	0.013	0.051	0	0	0	0	0	0	0.002	0.001	0.002	0.002	0.009	0	0.002	0	0.004	0.005	0.087	0.087	0.004	0.004	0	0	0.005	0.003	0	0	0	0	0	0.005	0.005	0	0	0	0.004	0.004	0.007	0.007	0	0	0	0
MMRF_1618_1_BM_CD138pos_pair	0	0	0	0	0	0	0.003	0	0	0	0.01	0.01	0	0	0.007	0.021	0.021	0	0	0	0	0.849	0.863	0.017	0.04	0	0.025	0	0.338	0	0	0	0	0	0.818	0.814	0	0	0	0	0.008	0.957	0.024	0.103	0.007	0.021	0.02	0.055	0	0.006	0.009	0.009	0	0	0.068	0.068	0	0	0.082	0.082	0.014	0	0	0	0	0	0.941	0	0	0.068	0	0.969	0.084	0.097	0.008	0.008	0	0	0.985	0.007	0.02	0.98
