sample	chr_10p	chr_10q	chr_11p	chr_11q	chr_12p	chr_12q	chr_13q	chr_14q	chr_15q	chr_16p	chr_16q	chr_17p	chr_17q	chr_18p	chr_18q	chr_19p	chr_19q	chr_1p	chr_1q	chr_20p	chr_20q	chr_21q	chr_22q	chr_2p	chr_2q	chr_3p	chr_3q	chr_4p	chr_4q	chr_5p	chr_5q	chr_6p	chr_6q	chr_7p	chr_7q	chr_8p	chr_8q	chr_9p	chr_9q	chr_11q_BIRC2	chr_11q_CCND1	chr_1p_CDKN2C	chr_1q_CKS1B	chr_16q_CYLD	chr_1p_EVI5	chr_14q_MAX	chr_8q_MYC	chr_8q_MYC_enhancer	chr_10q_NFKB2	chr_1p_NOTCH2	chr_13q_RB1	chr_1p_TENT5C	chr_17p_TP53	chr_14q_TRAF3
MMRF_1866_1_BM_CD138pos_pair	1.9844|0.0011	1.9844|0.0011	1.9691|0.0011	1.9691|0.0011	1.9934|0.0011	1.9934|0.0011	0.9982|7e-04	1.8675|0.0013	1.9814|0.0017	1.9791|0.0015	1.9791|0.0015	1.9825|0.0023	1.9944|0.0029	1.9834|0.0014	1.9834|0.0014	1.9989|0.002	1.9989|0.002	1.9989|0.0016	2.9801|0.0031	1.9778|0.0023	1.9798|0.0031	1.9857|0.0024	1.9645|0.0031	1.9959|0.0013	2.0005|0.001	1.9997|9e-04	1.9997|9e-04	1.9903|9e-04	1.9903|9e-04	1.0006|0.0015	1.9827|0.001	1.9982|0.001	1.9982|0.001	1.5595|0.0022	1.9977|0.0013	1.2719|0.0019	1.9915|0.0012	1.9646|0.0028	2.0075|0.0014	1.9788|0.0011	1.9788|0.0011	2.0057|0.0012	3.0033|0.0032	1.9888|0.0015	2.0057|0.0012	1.8772|0.0013	2.0012|0.0012	2.0012|0.0012	1.9941|0.0011	2.0057|0.0012	1.0079|7e-04	2.0057|0.0012	1.9921|0.0023	1.8772|0.0013
MMRF_1867_1_BM_CD138pos_pair	1.9967|9e-04	1.9967|9e-04	1.1873|0.0014	2.9994|0.0033	2.0021|0.0012	1.9873|0.0019	1.9349|0.001	1.9917|0.0013	3.4773|0.0029	2.0057|0.002	1.998|0.0016	2.0017|0.0018	2.0034|0.0018	2.939|0.0017	2.939|0.0017	2.9339|0.0024	2.9339|0.0024	1.972|0.0013	1.0138|0.0014	2.003|0.0014	2.003|0.0014	2.9963|0.0038	1.8144|0.0024	2.0059|0.0018	2.0048|9e-04	2.9769|0.0011	2.9769|0.0011	2.0313|0.0025	2.0055|8e-04	2.0034|0.0011	2.0158|0.0013	2.0003|8e-04	2.0003|8e-04	1.9971|9e-04	1.9971|9e-04	1.5714|0.0012	2.0718|0.001	2.992|0.0024	2.999|0.0031	2.0032|0.0014	2.0032|0.0014	1.9683|0.001	1.9997|0.0031	1.9958|0.0016	1.9683|0.001	1.9877|0.0011	2.0698|0.001	2.0698|0.001	1.9948|9e-04	1.9683|0.001	1.933|0.001	1.9683|0.001	1.9998|0.0018	1.9877|0.0011
MMRF_1871_1_BM_CD138pos_pair	1.988|0.0021	1.9827|0.0016	1.9034|0.0011	1.9034|0.0011	2.0165|0.0027	2.0248|0.0016	2.0523|0.0014	2.0427|0.0015	2.8626|0.0028	1.9762|0.0025	2.0265|0.0021	1.8835|0.0015	1.8835|0.0015	1.9802|0.0015	1.9802|0.0015	2.8004|0.0029	2.8004|0.0029	2.001|0.0012	1.98|0.0013	1.9983|0.0017	1.9983|0.0017	2.9312|0.0034	1.9908|0.0024	1.9867|0.0014	1.982|0.0011	2.9008|0.0014	2.8927|0.0018	1.9756|9e-04	1.9756|9e-04	2.8333|0.0027	2.8426|0.0016	2.9859|0.0024	1.1794|8e-04	2.8683|0.0034	2.8503|0.0026	1.0233|0.0015	2.9973|0.0019	3.606|0.0037	3.5668|0.0028	1.9167|0.0011	1.9167|0.0011	2.0143|0.0012	1.9933|0.0013	2.0399|0.0021	2.0143|0.0012	2.0561|0.0015	3.0106|0.0019	3.0106|0.0019	1.9957|0.0014	2.0143|0.0012	2.0656|0.0014	2.0143|0.0012	1.8968|0.0015	2.0561|0.0015
MMRF_1876_1_BM_CD138pos_pair	-0.4246|2e-04	2.0008|0.0013	2.7763|0.0021	2.7251|0.0026	2.0493|0.0012	2.0493|0.0012	0.8612|0.001	2.0788|0.0025	3.0722|0.0031	2.0087|0.0023	2.0126|0.0016	1.6751|0.0041	1.8515|0.0018	3.1849|0.0028	3.1818|0.0032	2.9523|0.0034	2.9542|0.0045	1.946|0.0035	3.0358|0.0033	2.028|0.0017	2.028|0.0017	3.2105|0.0036	2.0425|0.0041	1.9974|0.0022	2.0034|0.0014	2.4623|0.0022	3.1453|0.0018	1.9918|0.0016	2.013|0.0022	2.0268|0.0014	2.0111|0.0014	2.0725|0.0024	2.0465|0.0014	3.0804|0.0016	3.0789|0.0022	1.2168|0.0026	2.4571|0.0039	1.9367|0.002	1.8681|0.0015	2.6922|0.0023	2.7633|0.0021	1.9909|0.0013	3.0709|0.0039	1.9997|0.0016	1.9909|0.0013	2.0552|0.0015	2.2945|0.0026	2.2945|0.0026	1.9878|0.0013	1.9909|0.0013	0.8479|8e-04	1.9909|0.0013	1.9119|0.0041	2.0552|0.0015
MMRF_1879_1_BM_CD138pos_pair	1.993|0.0016	2.0008|0.0012	2.1298|0.0016	2.8967|0.0022	2.0032|0.001	2.0032|0.001	1.0145|6e-04	1.9779|0.0013	2.1067|0.0013	1.9916|0.0024	1.0818|9e-04	1.6068|0.0022	2.0032|0.0015	2.1394|0.0013	2.1394|0.0013	2.0119|0.0026	1.9959|0.0027	2.0184|7e-04	2.0184|7e-04	1.9756|0.0014	1.9756|0.0014	1.9893|0.0021	1.9762|0.0019	2.002|0.0011	2.0074|9e-04	2.0027|8e-04	2.0027|8e-04	2.0077|8e-04	2.0077|8e-04	2.0055|8e-04	2.0055|8e-04	2.0052|8e-04	2.0052|8e-04	2.0037|9e-04	2.0037|9e-04	2.002|9e-04	2.002|9e-04	2.0021|0.0017	1.9968|0.0014	3.0624|0.002	3.0624|0.002	2.0157|7e-04	2.0157|7e-04	1.0792|9e-04	2.0157|7e-04	1.9868|0.0012	1.9993|9e-04	1.9993|9e-04	1.9975|0.0012	2.0157|7e-04	1.0118|6e-04	2.0157|7e-04	1.6041|0.0022	1.9868|0.0012
MMRF_1880_1_BM_CD138pos_pair	2.0067|0.001	2.0067|0.001	3.0881|0.003	3.0859|0.0018	2.0066|0.001	2.0066|0.001	2.0069|0.0011	2.0025|0.0015	4.1936|0.0025	1.9804|0.0026	1.9725|0.0014	1.9993|0.0018	2.0016|0.002	2.0058|0.0013	2.0058|0.0013	3.0393|0.0047	3.0813|0.0045	2.0043|7e-04	2.0043|7e-04	2.0053|0.0014	2.0053|0.0014	3.0853|0.0028	1.9937|0.0028	2.1024|0.0012	2.1038|9e-04	3.094|0.0012	3.093|0.0017	2.0033|8e-04	2.0033|8e-04	3.0938|0.0024	3.0982|0.0014	2.4374|0.0027	1.6068|0.0015	3.0968|0.0015	3.099|0.0023	2.005|0.001	2.0051|0.0013	3.0959|0.0015	3.0959|0.0015	3.0809|0.0018	3.0809|0.0018	1.9993|7e-04	1.9993|7e-04	1.9675|0.0014	1.9993|7e-04	1.9997|0.0012	3.0364|0.0652	1.9944|0.0026	2.0016|0.001	1.9993|7e-04	2.0019|0.0011	1.9993|7e-04	1.9943|0.0018	1.9997|0.0012
MMRF_1881_1_BM_CD138pos_pair	1.9957|0.0018	1.9964|0.0015	2.9838|0.0021	2.9694|0.0022	1.9922|0.001	1.9922|0.001	1.9793|0.0012	1.9813|0.0014	2.9607|0.0028	1.9959|0.0026	1.9812|0.0018	1.9941|0.0014	1.9941|0.0014	1.9939|0.0014	1.9939|0.0014	2.9515|0.0028	2.9515|0.0028	1.993|0.0013	2.0149|0.0012	2.0013|0.0021	1.9933|0.0022	2.9522|0.0033	1.9714|0.0035	1.9875|0.0012	1.9911|0.001	2.9564|0.0019	2.9575|0.0013	1.9855|8e-04	1.9855|8e-04	2.9596|0.0013	2.9596|0.0013	2.7868|0.0013	2.7868|0.0013	1.992|0.001	1.9924|0.0014	1.9906|0.001	1.992|0.0014	2.9484|0.0037	2.9641|0.0028	2.9709|0.0023	2.9916|0.0021	2.0006|0.0011	2.0227|0.0012	1.9891|0.0018	2.0006|0.0011	1.9981|0.0013	1.9984|0.001	3.0375|0.0502	1.9978|0.0013	1.9856|0.0071	1.9871|0.0012	2.0006|0.0011	2.0019|0.0014	1.9981|0.0013
MMRF_1882_1_BM_CD138pos_pair	1.9918|0.0015	1.9918|0.0012	3.0369|0.0012	3.0369|0.0012	1.9938|8e-04	1.9938|8e-04	1.4517|0.0013	1.9741|0.0015	3.0941|0.0016	2.0725|0.002	1.6611|0.0012	1.9821|0.0026	1.9935|0.0023	1.9885|0.0011	1.9885|0.0011	4.0573|0.0048	3.2739|0.0044	1.898|8e-04	2.1951|0.001	1.9831|0.0012	1.9831|0.0012	2.0243|0.0017	1.9691|0.0017	1.9992|0.001	1.9995|8e-04	2.1745|7e-04	2.1745|7e-04	1.9981|7e-04	1.9981|7e-04	3.0165|0.0025	2.9468|0.0027	2.0143|9e-04	1.7394|0.0013	1.998|8e-04	1.998|8e-04	1.5706|0.0013	2.0565|0.001	3.1934|0.004	3.1722|0.0018	3.043|0.0012	3.043|0.0012	1.9042|8e-04	2.2013|0.001	1.6673|0.0012	1.9042|8e-04	1.9231|0.0012	2.0627|0.001	2.0627|0.001	1.994|0.001	1.9042|8e-04	1.4574|0.001	1.9042|8e-04	1.9885|0.0026	1.9231|0.0012
MMRF_1886_1_BM_CD138pos_pair	2.179|0.0013	2.179|0.0013	2.0066|0.0016	1.998|0.0019	1.9594|0.0016	1.9667|0.0018	2.6224|0.0023	2.1077|0.0022	2.0286|0.0016	1.981|0.005	2.1883|0.0023	1.9722|0.0035	2.0034|0.0026	1.9441|0.0015	1.9441|0.0015	1.9619|0.0022	1.9619|0.0022	1.6236|0.0015	2.7748|0.0046	2.0312|0.0018	2.0312|0.0018	2.014|0.0024	2.0272|0.0051	2.0304|0.0015	2.0732|0.0012	1.9859|0.0015	2.0419|0.0015	2.1491|0.0018	2.1491|0.0018	1.9262|0.001	1.9262|0.001	2.1082|0.0011	2.1082|0.0011	2.0288|0.0011	2.0288|0.0011	2.0309|0.002	2.0221|0.0012	1.9177|0.0013	1.9177|0.0013	1.973|0.0018	2.0032|0.0016	1.2533|0.001	2.9726|0.0032	2.1848|0.0023	1.2533|0.001	2.1144|0.0019	2.0186|0.0012	2.0186|0.0012	2.1755|0.0013	1.2533|0.001	2.6188|0.0019	1.2533|0.001	1.949|0.0037	2.1144|0.0019
MMRF_1888_1_BM_CD138pos_pair	1.9992|0.001	1.9992|0.001	2.0026|0.001	2.0026|0.001	2.0009|0.0011	2.0003|0.0015	1.9949|0.0015	1.9904|0.0016	2.9994|0.0028	1.9854|0.0022	1.9832|0.0018	2.9631|0.0036	2.9635|0.003	2.0011|0.003	2.0043|0.0015	2.9308|0.0044	2.9589|0.005	1.9983|0.0014	2.007|0.0022	1.0036|0.0011	1.991|0.002	1.9891|0.002	1.9471|0.0051	2.0147|0.0018	2.0091|0.0014	2.0071|0.0012	2.0031|0.0011	2.9893|0.0025	2.9889|0.002	2.0121|9e-04	2.0121|9e-04	1.9717|0.0017	2.0027|0.001	2.9943|0.002	2.9996|0.002	2.0049|0.001	2.0049|0.001	2.9953|0.0016	2.9953|0.0016	2.0016|0.001	2.0016|0.001	2.0019|0.0012	2.9666|0.029	1.9822|0.0018	2.0019|0.0012	1.9995|0.0013	2.004|0.001	2.004|0.001	1.9982|0.001	2.0019|0.0012	2.0021|0.0012	2.0019|0.0012	2.9622|0.0036	0.7052|0.0105
MMRF_1890_1_BM_CD138pos_pair	1.9043|0.0015	1.8349|0.0017	2.0866|0.0014	2.0866|0.0014	1.107|7e-04	1.107|7e-04	1.4671|0.0022	1.7466|0.0014	2.1024|0.0024	1.9842|0.0042	1.3612|0.0027	1.1379|0.0036	2.0069|0.0031	1.5232|0.0025	1.9759|0.0019	2.1398|0.0054	1.6738|0.0038	1.5796|0.0014	2.5046|0.0035	1.1654|0.0034	1.9852|0.0026	1.8303|0.0024	1.0906|0.0015	2.0378|0.0016	1.274|0.0021	1.9891|0.0017	1.9913|0.0024	1.3382|0.0037	1.2594|0.0026	1.8455|0.001	1.8455|0.001	1.6039|0.0015	1.5339|9e-04	1.3626|0.0022	2.2185|0.0025	2.0678|0.0024	2.7228|0.0022	2.0223|0.0024	1.9636|0.0018	2.8367|0.0014	2.8367|0.0014	2.3377|0.0012	3.1601|0.0019	1.8719|0.0024	2.3377|0.0012	2.4966|0.0014	3.5554|0.0022	3.5554|0.0022	2.4985|0.002	2.3377|0.0012	1.811|0.0013	2.3377|0.0012	1.8921|0.0035	2.4966|0.0014
MMRF_1891_1_BM_CD138pos_pair	1.9869|0.001	1.9869|0.001	1.9925|0.001	1.9925|0.001	1.9947|0.001	1.9947|0.001	1.008|6e-04	1.0062|0.001	1.9934|0.0013	1.9858|0.0022	1.0087|9e-04	1.9866|0.0019	1.9945|0.0022	1.9974|0.0013	1.9974|0.0013	2.9691|0.0027	2.9691|0.0027	1.9911|0.0014	2.9634|0.0017	1.9876|0.0015	1.9876|0.0015	2.0024|0.002	1.9876|0.0036	1.9963|0.0015	1.9935|9e-04	2.0024|8e-04	2.0024|8e-04	1.9986|0.0014	2.0024|0.0011	2.0016|0.0012	1.9984|9e-04	2.9853|0.0031	1.9927|0.001	1.9933|9e-04	1.9933|9e-04	1.9963|0.001	1.9963|0.001	2.9774|0.0016	2.9774|0.0016	1.9979|0.001	1.9979|0.001	1.9977|0.0011	2.9688|0.0017	1.0142|9e-04	1.9977|0.0011	2.0049|0.0016	2.0017|0.001	2.0017|0.001	1.9924|0.001	1.9977|0.0011	1.0134|6e-04	1.9977|0.0011	1.9921|0.0019	0.4454|0.0086
MMRF_1893_1_BM_CD138pos_pair	2.5588|0.0018	2.5558|0.0013	2.5154|0.001	2.5154|0.001	1.9948|0.0017	2.0013|0.001	1.9985|0.0013	2.0206|0.0016	2.5164|0.0019	1.9759|0.0018	1.9805|0.0015	1.9442|0.0011	1.9442|0.0011	3.1258|0.0016	3.1258|0.0016	2.5112|0.0019	2.5112|0.0019	1.9914|6e-04	1.9914|6e-04	2.0902|0.0013	2.0902|0.0013	2.5632|0.0021	1.9852|0.0024	1.9747|0.0011	1.9818|8e-04	1.9702|0.0033	1.9647|0.0031	1.9663|0.0013	1.9796|8e-04	2.5591|9e-04	2.5591|9e-04	2.5586|9e-04	2.5586|9e-04	2.526|0.0021	2.5236|0.0012	1.9897|8e-04	1.9897|8e-04	2.5134|0.0018	2.5026|0.0014	2.528|0.001	2.528|0.001	2.004|6e-04	2.004|6e-04	1.9933|0.0014	2.004|6e-04	2.0367|0.0012	2.0022|8e-04	2.0022|8e-04	2.5681|0.0013	2.004|6e-04	2.0118|0.0011	2.004|6e-04	1.9568|0.0011	2.0367|0.0012
MMRF_1895_1_BM_CD138pos_pair	2.0026|0.001	2.0026|0.001	4.1816|0.0019	4.1816|0.0019	2.0043|0.001	2.0043|0.001	2.0049|0.0012	1.3293|0.0016	4.2209|0.0034	1.984|0.0034	1.4288|0.0023	1.9926|0.0014	1.9926|0.0014	2.0038|0.0013	2.0038|0.0013	4.0013|0.0039	3.9937|0.0052	2.0022|0.0014	2.027|0.0012	2.0005|0.0021	1.9888|0.0021	2.0086|0.0029	1.9792|0.002	2.0048|0.0012	2.0078|9e-04	3.084|0.0023	3.097|0.0028	2.0028|0.0017	2.0095|9e-04	3.1154|0.0013	3.1141|0.0017	2.0118|9e-04	2.0118|9e-04	2.0152|9e-04	2.0152|9e-04	2.0968|0.001	2.093|0.0013	4.0005|0.002	4.0005|0.002	4.1775|0.0019	4.1775|0.0019	2.0029|0.0011	2.0232|0.0011	1.4432|0.0025	2.0029|0.0011	2.0078|0.0017	2.0927|0.001	2.0927|0.001	1.9985|0.001	2.0029|0.0011	2.0008|0.0012	2.0029|0.0011	1.9886|0.0014	1.9798|0.0033
MMRF_1900_1_BM_CD138pos_pair	1.9897|0.0012	1.9897|0.0012	3.1721|0.0019	3.157|0.0025	1.9666|0.0024	1.9754|0.0014	1.9782|0.0014	1.9888|0.0023	4.1759|0.0038	1.9755|0.0026	1.9999|0.0018	1.7037|0.003	1.8038|0.0024	2.056|0.0016	2.056|0.0016	2.9985|0.0035	2.9975|0.0049	1.9533|9e-04	1.9533|9e-04	2.0183|0.0035	2.0044|0.0027	3.4506|0.0053	1.9491|0.0038	1.9996|0.0014	1.9869|0.0011	3.1044|0.0029	3.0214|0.0019	1.7991|0.0015	1.7991|0.0015	3.1187|0.0027	3.1343|0.0016	1.9841|0.001	1.9841|0.001	1.9075|0.0017	2.6346|0.0028	1.3193|0.0017	2.0633|0.0034	2.9262|0.0029	2.9566|0.0031	3.1939|0.0019	3.1939|0.0019	1.9751|9e-04	1.9751|9e-04	2.0217|0.0018	1.9751|9e-04	2.0191|0.0015	2.0459|0.0015	3.6206|0.071	2.0115|0.0012	1.9751|9e-04	2|0.0014	1.9751|9e-04	1.675|0.0032	2.0191|0.0015
MMRF_1906_1_BM_CD138pos_pair	2.0039|0.0016	2.0034|0.0011	2.0014|0.0013	2.0126|0.0014	2.0064|9e-04	2.0064|9e-04	2.0117|0.0015	2.0342|0.0025	2.0281|0.0018	1.9966|0.0013	1.999|0.0018	2.0591|0.003	2.0255|0.0021	2.0074|0.0012	2.0074|0.0012	1.9885|0.0016	1.9885|0.0016	2.0052|0.001	3.272|0.0022	2.0032|0.0014	2.0013|0.0019	2.0116|0.0018	2.0913|0.0044	2.0046|0.0011	2.0195|0.0013	2.0071|0.001	2.0422|0.0018	2.0101|8e-04	2.0215|0.0012	2.0056|8e-04	2.019|0.0011	2.0082|9e-04	0.7097|0.0011	2.0094|9e-04	2.0269|0.0017	2.005|8e-04	2.0183|0.0011	2.0479|0.0025	2.0024|0.0012	1.9994|0.0012	3.2662|0.023	1.997|9e-04	3.2693|0.0029	1.9884|0.0013	1.997|9e-04	1.9933|0.0016	1.9968|8e-04	1.9968|8e-04	1.9951|0.0011	1.997|9e-04	2.0054|0.0014	1.997|9e-04	1.9924|0.0016	1.9933|0.0016
MMRF_1908_1_BM_CD138pos_pair	1.9857|0.0018	1.9918|0.0018	2.0057|0.001	2.0057|0.001	2.0003|0.001	2.0003|0.001	1.002|6e-04	1.0009|7e-04	1.998|0.0013	1.6935|0.0042	1.0583|0.0015	2.0173|0.0014	2.0173|0.0014	1.9936|0.0014	1.9936|0.0014	2.0582|0.0036	2.0168|0.0034	1.5531|0.0011	2.4346|0.0014	1.991|0.0022	2.0142|0.0021	2.0127|0.0021	1.0228|0.0012	1.9978|0.0015	1.9977|0.0011	1.9971|0.0011	1.999|0.0011	2.0035|9e-04	2.0035|9e-04	2.0017|0.0012	1.9981|9e-04	1.002|6e-04	1.002|6e-04	2.0145|0.0018	1.9979|0.001	1.9954|0.0018	1.9968|0.001	2.0019|0.0019	2.0032|0.0014	2.0054|0.001	2.0054|0.001	1.5481|9e-04	2.4343|0.0014	1.0553|0.0012	1.5481|9e-04	1.0005|7e-04	1.9965|0.001	1.9965|0.001	1.985|0.0013	1.5481|9e-04	1.0017|6e-04	1.5481|9e-04	2.017|0.0014	1.0005|7e-04
MMRF_1911_1_BM_CD138pos_pair	1.9878|0.0017	1.9921|0.0015	1.9982|9e-04	1.9982|9e-04	1.9961|0.0017	1.998|0.001	1.0085|6e-04	1.0234|6e-04	1.9919|0.0012	1.9798|0.002	1.984|0.0017	1.9835|0.0018	1.9952|0.0021	1.9953|0.0012	1.9953|0.0012	1.9902|0.0017	1.9902|0.0017	2.027|7e-04	2.027|7e-04	1.9779|0.0014	1.9779|0.0014	1.9992|0.0019	1.9814|0.0021	1.9968|0.0011	1.9994|9e-04	1.999|8e-04	2.0003|0.001	1.995|0.0015	2.0076|9e-04	1.9999|8e-04	1.9999|8e-04	2.025|8e-04	2.025|8e-04	2.0004|9e-04	1.9996|0.0013	1.9861|0.0015	1.9925|9e-04	2.0347|0.001	2.0347|0.001	2.0014|9e-04	2.0014|9e-04	2.0302|7e-04	2.0302|7e-04	1.9874|0.0017	2.0302|7e-04	1.0267|6e-04	1.9957|9e-04	1.9957|9e-04	1.9945|0.0012	2.0302|7e-04	1.0117|6e-04	2.0302|7e-04	1.9868|0.0018	1.0267|6e-04
MMRF_1915_1_BM_CD138pos_pair	2.0084|0.001	2.0084|0.001	2.0159|0.0015	3.0273|0.0022	1.9548|0.001	1.9548|0.001	1.9465|0.0012	1.9994|0.0016	1.6272|0.0011	1.5723|0.0026	1.4628|0.0014	1.5513|0.003	1.4956|0.0017	2.0674|0.0014	2.0674|0.0014	2.459|0.0023	2.459|0.0023	1.577|6e-04	1.577|6e-04	2.018|0.0023	2.0229|0.0021	2.002|0.0021	2.0077|0.0031	2.0168|0.0012	2.0141|0.001	1.9828|8e-04	1.9828|8e-04	1.9947|9e-04	1.9947|9e-04	2.0106|0.0016	2.0024|0.0013	1.9316|9e-04	1.9316|9e-04	2.0089|0.001	2.0089|0.001	2.0388|0.001	2.0656|0.0043	2.0221|0.0019	2.0184|0.0014	3.0175|0.0022	3.0175|0.0022	1.5673|6e-04	1.5673|6e-04	1.4531|0.0014	1.5673|6e-04	1.9859|0.0013	2.0291|0.001	2.0291|0.001	1.9987|0.001	1.5673|6e-04	1.9367|0.0012	1.5673|6e-04	1.5346|0.0025	1.9859|0.0013
MMRF_1916_1_BM_CD138pos_pair	1.9993|9e-04	1.9993|9e-04	2.0079|9e-04	2.0079|9e-04	2.0065|0.0019	2.0066|0.001	1.4539|8e-04	2.0047|0.0016	2.4988|0.0014	2.0128|0.0036	2.0009|0.0018	2.0111|0.0034	1.4818|0.0036	2.5344|0.0016	2.5304|0.0019	2.574|0.0036	2.5594|0.0035	2.0146|0.002	3.0864|0.0015	2.0038|0.0019	2.0103|0.0026	1.9926|0.0018	2.0082|0.0027	2.0062|0.0015	1.9983|8e-04	1.9986|7e-04	1.9998|9e-04	1.9937|0.0014	1.9953|9e-04	2.5387|9e-04	2.5387|9e-04	2.5493|0.0016	1.8278|0.0017	1.9966|8e-04	1.9966|8e-04	1.9927|0.001	1.9946|0.0013	2.5428|0.002	2.5557|0.0015	2.0053|9e-04	2.0053|9e-04	2.0076|0.0012	3.0837|0.0015	1.9982|0.0016	1.986|0.0025	1.999|0.0011	2.0026|0.0019	2.0026|0.0019	1.9967|9e-04	2.0057|0.0027	1.4513|8e-04	2.0057|0.0027	2.0047|0.0028	1.999|0.0011
MMRF_1917_1_BM_CD138pos_pair	1.9965|0.002	2.0145|0.0016	2.0285|0.0012	2.0285|0.0012	2.0035|0.0012	2.0035|0.0012	1.0882|7e-04	2.0037|0.0015	1.8161|0.0021	1.9923|0.0039	2.0062|0.002	2.0032|0.0031	2.0207|0.0034	2.0183|0.0015	2.0183|0.0015	2.0226|0.0038	2.016|0.0025	2.0092|0.0012	2.3164|0.006	1.2288|0.0017	1.2448|0.0029	2.0087|0.0023	1.2454|0.0015	2.0058|0.0014	1.9921|0.0011	2.0086|9e-04	2.0086|9e-04	2.0126|0.001	2.0126|0.001	2.0115|0.0023	2.0074|0.0011	2.0824|0.0016	1.8407|0.002	2.0118|0.0011	2.0118|0.0011	2.0066|0.0019	2.0057|0.0011	2.0079|0.0021	2.0152|0.0016	2.0192|0.0012	2.0192|0.0012	2|0.0012	2.2087|0.0014	1.997|0.002	2|0.0012	1.9992|0.0014	1.9964|0.0011	1.9964|0.0011	2.0027|0.0014	2|0.0012	1.0789|7e-04	2|0.0012	1.994|0.0031	1.9992|0.0014
MMRF_1918_1_BM_CD138pos_pair	1.9934|0.0016	1.9922|0.0015	1.9934|9e-04	1.9934|9e-04	1.9995|0.0021	1.9962|0.0011	1.9833|0.0015	1.9984|0.0014	2.0114|0.0017	2.0076|0.0042	1.9981|0.0016	2.0036|0.0034	2.0089|0.0028	1.9893|0.0012	1.9893|0.0012	2.011|0.0017	2.011|0.0017	1.9985|0.0019	2.7438|0.0014	2.0027|0.0019	2.0016|0.0022	1.9897|0.0019	2.0085|0.0027	1.9937|0.0011	1.9911|9e-04	1.9918|0.0011	1.9988|0.0016	1.9862|0.0015	1.9885|9e-04	1.9888|8e-04	1.9888|8e-04	1.9931|8e-04	1.9931|8e-04	1.9909|9e-04	1.9909|9e-04	1.9963|0.0025	1.9912|9e-04	1.9933|0.001	1.9933|0.001	2|9e-04	2|9e-04	2.0038|0.0013	2.7503|0.0014	2.0047|0.0016	1.9995|0.0021	2.0014|0.0012	1.9978|9e-04	1.9978|9e-04	1.9798|0.0011	2.005|0.003	1.9899|0.0013	2.005|0.003	2.0135|0.0029	2.0014|0.0012
MMRF_1921_1_BM_CD138pos_pair	2.0026|9e-04	2.0026|9e-04	3.0705|0.0013	3.0705|0.0013	2.0031|9e-04	2.0031|9e-04	1.9561|0.001	1.9952|0.0012	4.179|0.0022	1.9969|0.0013	1.9969|0.0013	2.0102|0.0013	2.0102|0.0013	1.9966|0.0012	1.9966|0.0012	3.0946|0.0041	3.0895|0.0029	1.5027|0.0021	2.0057|0.0011	2.0104|0.0014	2.0104|0.0014	1.9965|0.0018	2.0062|0.0019	2.2056|0.0012	2.2022|0.0011	3.0675|0.0022	3.0764|0.0018	1.9927|8e-04	1.9927|8e-04	4.1116|0.0014	4.1116|0.0014	2.0167|9e-04	2.0168|8e-04	3.0833|0.002	3.077|0.0016	1.9882|9e-04	1.9882|9e-04	3.0665|0.0033	3.0567|0.0074	3.0678|0.0013	3.0678|0.0013	2.0015|0.0012	2.003|0.001	1.9943|0.0013	1.5|0.0021	1.9995|0.0011	1.9856|9e-04	1.9856|9e-04	2|9e-04	2.005|0.0027	1.9535|0.001	2.005|0.0027	2.0076|0.0013	1.9995|0.0011
MMRF_1922_1_BM_CD138pos_pair	1.9959|9e-04	1.9959|9e-04	3.0128|0.0013	3.0128|0.0013	2.0203|0.0014	2.012|0.0013	1.9924|0.001	1.99|0.0013	4.6661|0.0036	1.9938|0.002	1.994|0.0016	1.945|0.0045	2.4876|0.0032	1.9863|0.0012	1.9863|0.0012	2.9977|0.0029	2.9979|0.0037	1.9998|0.001	2.4707|0.0013	2.0154|0.002	2.0638|0.0019	3.4545|0.0031	2.0081|0.0027	2.8794|0.0021	2.6798|0.0014	2.9986|0.0017	2.9963|0.0013	2.0203|8e-04	2.0203|8e-04	3.9736|0.0015	3.9736|0.0015	3.5573|0.003	2.1759|0.0012	2.9413|0.0023	3.0018|0.0017	2.2197|0.001	2.2699|0.0014	3.4663|0.0017	3.4663|0.0017	3.0028|0.0013	3.0028|0.0013	1.9898|0.001	2.4606|0.0013	1.9839|0.0016	1.9898|0.001	1.9936|0.0011	2.2097|0.001	2.5066|0.0031	1.9858|9e-04	1.9898|0.001	1.9824|0.001	1.9898|0.001	1.9978|0.0035	1.9936|0.0011
