variable	NDMM	SMM	diff	med_timing_com	mean_timing_com	sd_com	min_com	max_com	first_q_com	third_q_com	n_com	med_timing_smm	mean_timing_smm	sd_smm	min_smm	max_smm	first_q_smm	third_q_smm	n_smm	pval	qval	timing_diff	lab	qval_signif
del_chr_2q_SP140	0.04014167650531287	0.04923076923076923	-0.009089092725456362	2.4183199245322577	2.427211184871893	0.4023646102830873	1.6036686887170715	3.034009612889022	2.2785401723732326	2.770143399918289	20	3.351078145519761	3.371534501656905	0.6873222553299017	2.1383755564687883	4.627302052041381	2.9598672459143183	3.877698028279172	20	4.121931867736385e-6	3.297545494189108e-4	-0.9327582209875032	del_2q_SP140	yes
amp_chr_18q	0.16883116883116883	0.17846153846153845	-0.009630369630369617	1.3812608788105205	1.435429337873268	0.3007105227192151	0.9812352541814864	2.037220128127836	1.221298611867756	1.6939651431737552	20	1.9788770436406256	2.121484152671841	0.36774885582988137	1.5586009165566312	3.061804451475706	1.8788404239084229	2.3303976110808997	20	1.6891248694701805e-7	1.3512998955761444e-5	-0.597616164830105	amp_18q	yes
del_chr_20q	0.05785123966942149	0.06769230769230769	-0.009841068022886201	2.5687699003407305	2.6749148717093645	0.34978282582425707	2.13074501204921	3.3764592998496736	2.393587446129147	2.9321766293057996	20	2.5714211455990013	2.607422271871341	0.4606462025694441	1.8258652553794177	3.6383095658767686	2.2510278745241923	2.9612685899704134	20	0.5648316368536903	1	-0.0026512452582707624	del_20q	no
amp_chr_2q	0.06729634002361275	0.08	-0.012703659976387255	2.6601659408578415	2.6209719490858885	0.38667562200679523	1.872328943173521	3.244497900553861	2.360059259420691	2.9559327781485423	20	2.5704396781603505	2.619398250954526	0.6824093057573513	1.6866435988520918	4.250512669055645	2.215471125339189	2.9228374189896793	20	0.6587978577435463	1	0.08972626269749107	amp_2q	no
amp_chr_20q	0.07319952774498228	0.08615384615384615	-0.012954318408863866	3.6240635907258576	3.6262813964844134	0.32012638268409793	3.0967477687546694	4.385352572131812	3.3821416987280744	3.8507126539821446	20	2.4795689336424185	2.435051007985675	0.4189189891806138	1.2982625781824848	3.130976632012437	2.274058856911565	2.695292339747171	20	2.9017778207699375e-11	2.32142225661595e-9	1.1444946570834391	amp_20q	yes
amp_chr_11q	0.07818930041152264	0.09183673469387756	-0.013647434282354917	0.8611890070344206	0.928448242176982	0.6717805109703588	-0.2876231792739143	1.9394552748771035	0.6323076587819021	1.6419812427490554	20	0.7451306019970556	0.9143073074187278	0.8122441135397703	-0.7346808132575774	2.457063473499514	0.464273057821588	1.4395438388844202	20	0.7788036356155523	1	0.11605840503736498	amp_11q	no
amp_chr_14q	0.04132231404958678	0.055384615384615386	-0.014062301335028608	4.434968797350471	4.622265481123615	0.43518996998232323	4.0773013321787	5.441552760722404	4.255451932137525	5.021275093871551	20	2.7977523502402253	2.917014266303667	0.5458073368307543	2.116977695102105	4.3886642908527556	2.502663923022095	3.1662781085328	20	1.4073622430734198e-9	1.1258897944587358e-7	1.6372164471102453	amp_14q	yes
del_chr_10p	0.03896103896103896	0.06153846153846154	-0.022577422577422582	2.7499312319405806	2.6717559069151786	0.43480900193245925	1.9848486292711967	3.3467272668893746	2.312217634738602	3.0246261680074173	20	2.8947974577825493	2.8637603086299004	0.6086809374617194	1.642737168013033	3.9040333933067513	2.371230830545823	3.2298364570905442	20	0.3140842696919498	1	-0.14486622584196862	del_10p	no
amp_chr_18p	0.15230224321133412	0.1753846153846154	-0.023082372173281268	1.5092967718740216	1.5365431380136176	0.3603381164079585	0.8848126796784362	2.4098919550777214	1.391591303436016	1.6979009838553698	20	2.076819038552096	2.159504869824703	0.3762675645090028	1.6536995053179253	3.1408056043724755	1.8931798630650873	2.361776650294822	20	1.3670710580320291e-6	1.0936568464256234e-4	-0.5675222666780746	amp_18p	yes
del_chr_16p	0.08028335301062574	0.10461538461538461	-0.024332031604758872	3.291564252286876	3.2731087604647886	0.3783793729705797	2.5082720663408455	3.8078982684572504	3.047896458860385	3.5284106209326778	20	2.7166733998244843	2.7462187256254924	0.4292749092809996	2.022436134497263	3.5896185373076874	2.4959720912322627	2.929882509527674	20	3.29847899611405e-4	0.0263878319689124	0.5748908524623917	del_16p	yes
amp_chr_20p	0.049586776859504134	0.08	-0.030413223140495868	3.9362943454607646	3.961318413898094	0.363491859865741	3.066965239375913	4.452271916728913	3.77095610168044	4.250564519462333	20	2.2084434336868255	2.1973554395265467	0.4941536733041817	0.822619987695293	2.874053500270565	2.027911308831407	2.486993978227105	20	1.4508889103849688e-11	1.160711128307975e-9	1.7278509117739391	amp_20p	yes
amp_chr_12q	0.024793388429752067	0.055384615384615386	-0.03059122695486332	4.195305886505567	4.364350773472553	0.5642056871890649	3.644422924811413	5.899816216530727	4.0066397135505	4.47373670836386	20	3.222555452960086	3.187659460156165	0.5874227348999524	2.1391030783017144	4.250898090244225	2.81805837913977	3.605487465905868	20	1.0605997934914123e-7	8.484798347931297e-6	0.9727504335454809	amp_12q	yes
amp_chr_17p	0.09090909090909091	0.12307692307692308	-0.03216783216783217	2.0545872797796694	2.0586363484053236	0.3646636458050095	1.4574069027060972	2.8256649071670945	1.737541475023814	2.320072982169279	20	1.782521222469275	1.824977089140791	0.250704986406141	1.3335855134683392	2.195935162965382	1.6976203118828825	2.0159896205961054	20	0.06343244610401354	1	0.27206605731039435	amp_17p	no
amp_chr_17q	0.11097992916174734	0.1476923076923077	-0.03671237853056036	2.4860415975290278	2.428834093713931	0.3257066345863258	1.718364268551602	3.0135277717695366	2.297434477030585	2.6232639411834118	20	1.9382964166689634	1.8957778993229986	0.21704788072967468	1.5595260245710232	2.289017621848795	1.718391144944125	2.0583567583047166	20	1.65444862451198e-6	1.323558899609584e-4	0.5477451808600644	amp_17q	yes
amp_chr_16p_BCMA	0.0448642266824085	0.08923076923076922	-0.04436654254836073	2.9038073478958815	2.9232287379405197	0.3343107294283491	2.4033863212513014	3.6626525677440025	2.7152134960486136	3.08547552532731	20	2.4436704775999902	2.5876198860282416	0.3083622138970539	2.1506240020680543	3.084982980619229	2.3489480141583297	2.888973405793985	20	0.002642630591559353	0.21141044732474826	0.46013687029589123	amp_16p_BCMA	no
amp_chr_12p	0.018890200708382526	0.06769230769230769	-0.04880210698392516	3.8844682340455456	3.985192180692034	0.6373666853565249	2.939165691607498	5.516794992953165	3.604892298658239	4.209114677453187	20	2.7179442231180326	2.8130977809067477	0.40573829477004203	2.1033904804874575	3.4386237250129708	2.51212177476988	3.2303389105971414	20	3.946417836247116e-9	3.1571342689976927e-7	1.166524010927513	amp_12p	yes
amp_chr_4p	0.08146399055489964	0.13230769230769232	-0.05084370175279268	2.2825005236785065	2.32274366929165	0.3340560989299588	1.8043823012825504	3.3143671995652615	2.101983427697245	2.4540446188372558	20	1.9783511859731002	1.8875286305868078	0.4061369011051167	0.9824602718351734	2.297026527060954	1.8021295419856607	2.19711272693738	20	8.357657823247608e-4	0.06686126258598087	0.3041493377054063	amp_4p	no
amp_chr_4q	0.09799291617473435	0.15076923076923077	-0.052776314594496415	2.3001480445511717	2.3889011952529544	0.4191808215775951	1.9243017639687203	3.2795086137059646	2.0481432688543983	2.576707686084694	20	2.010363255695975	1.9560647359849157	0.3914984038925194	1.027428915596618	2.4829400483839184	1.7572603981882773	2.2684389113031056	20	0.008711880613026813	0.6969504490421451	0.28978478885519676	amp_4q	no
amp_chr_22q	0.021251475796930343	0.07692307692307693	-0.05567160112614658	5.210461060784942	5.327365201484146	0.5882899541147	4.224574637842589	6.470124921170971	5.072212693554997	5.704380041427738	20	2.625167925438605	2.669385788970694	0.2528704253892616	2.070695395543902	3.170066002021752	2.5429163683880285	2.8014275151815493	20	1.4508889103849688e-11	1.160711128307975e-9	2.585293135346337	amp_22q	yes
amp_chr_16q	0.031877213695395513	0.08923076923076922	-0.05735355553537371	4.679455621912668	4.729716861967015	0.6197427742004155	3.548943193704271	5.860079861017513	4.34677358099796	4.9921445416186945	20	2.920541291648866	3.012043710812988	0.35365065266193874	2.46229163535292	3.7994306094248644	2.7447228781761503	3.2642311434313216	20	5.803555641539875e-11	4.6428445132319e-9	1.758914330263802	amp_16q	yes
amp_chr_1p	0.02243211334120425	0.08307692307692308	-0.06064480973571883	3.9510983927620513	4.075600688621441	0.5267953116073248	3.378435388476647	5.164719575050428	3.6623814346703183	4.340114805783441	20	3.05985848806436	3.0152168977374276	0.324565436275549	2.4796593923801415	3.5736887979196634	2.7617377799946183	3.2541384511480884	20	2.7566889297314407e-10	2.2053511437851527e-8	0.8912399046976915	amp_1p	yes
