sample	KRAS	NRAS	IGLL5	TENT5C	DIS3	TRAF3	BRAF	DUSP2	TP53	FGFR3	ATM	DNAH5	EGR1	HIST1H1E	CYLD	MAX
MMRF_1621_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1622_1_BM_CD138pos	0	1|0.905|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1624_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1625_1_BM_CD138pos	0.842|0.716|0.977	0	1|1|1	0	0	0	0.153|0.062|0.365	0	0	0	0.949|0.758|1	0	0	0	0	0
MMRF_1627_1_BM_CD138pos	0	0	0	1|0.929|1	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1628_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1629_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0.863|0.629|1	0	0	0	0	0	0
MMRF_1630_1_BM_CD138pos	0	0	0	0.963|0.775|1	0	0	1|1|1	0	0	0	0	0	0	0	0	0
MMRF_1633_1_BM_CD138pos	0	0	0	0.163|0.089|0.289	0.14|0.069|0.277	0	0	0	0	0	0	0	1|0.813|1	0	0	0
MMRF_1634_1_BM_CD138pos	0.854|0.614|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1637_1_BM_CD138pos	0	0	1|0.809|1	0	0	0	0	1|0.738|1	0	0	0.667|0.612|0.667	0	0	0	0	0
MMRF_1639_1_BM_CD138pos	0	0.458|0.272|0.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1641_1_BM_CD138pos	0	0	0	0	0	0	0	0	0.935|0.771|1	0	0	0.858|0.624|1	0	0	0	0
MMRF_1642_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	1|0.735|1	0	0	0	0
MMRF_1643_1_BM_CD138pos	0	0	0.669|0.342|1	0	0.74|0.532|0.988	0	0	0	0	0	0	0	0	0	0	0
MMRF_1644_1_BM_CD138pos	0.828|0.7|0.963	0	0	0	0	0	0	0	0	0	0	1|0.723|1	0	0	0	0
MMRF_1646_1_BM_CD138pos	0	0	0.919|0.553|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1648_1_BM_CD138pos	0	1|1|1	0	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1650_1_BM_CD138pos	0.231|0.147|0.355	0.138|0.065|0.285	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1652_1_BM_CD138pos	0	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1654_1_BM_CD138pos	0.355|0.236|0.522	0	0	0	1|0.734|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1655_1_BM_CD138pos	1|0.818|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1665_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1672_1_BM_CD138pos	0	0	1|0.906|1	0	0	1|1|1	0	0	0	0	0	0	0	0	0	0
MMRF_1674_1_BM_CD138pos	0	0	0	0	1|0.953|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1676_1_BM_CD138pos	0.683|0.513|0.88	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1678_1_BM_CD138pos	0	0	0	0	0	0	0.228|0.093|0.533	0	0	0	0	0	0	0	0.352|0.245|0.494	0
MMRF_1680_1_BM_CD138pos	0	0	0	0.126|0.073|0.213	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1682_1_BM_CD138pos	0.647|0.374|1	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1683_1_BM_CD138pos	0	0	0	0	1|1|1	0	0	0	0.965|0.746|1	0	0.894|0.668|1	0.331|0.242|0.446	0	0	0	0
MMRF_1686_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1687_1_BM_CD138pos	0	0.262|0.15|0.445	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1690_1_BM_CD138pos	0.36|0.232|0.525	0	1|0.854|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1694_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1695_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0.607|0.385|0.918	0	0	0
MMRF_1698_1_BM_CD138pos	0.922|0.751|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1700_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1705_1_BM_CD138pos	0	0	0	0	0	0.429|0.267|0.649	0	0	0	0	0	0	0	1|1|1	0	0
MMRF_1710_1_BM_CD138pos	0	0	0	0	0	0	0	0	0.43|0.156|0.981	0	0	0	0	0	0	0
MMRF_1714_1_BM_CD138pos	0.887|0.754|1	0	0	0	0	0	0	0	0	0	0	0	1|1|1	0	0	0
MMRF_1715_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1716_1_BM_CD138pos	0	0	0	0	0	0	1|0.734|1	0	0	0	0	0	0	0	0	0
MMRF_1719_1_BM_CD138pos	0	0.922|0.814|1	0	1|0.794|1	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1721_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1723_1_BM_CD138pos	0	0	0.81|0.442|1	0	0	1|0.987|1	0	0	0	0	0	0	0	0	0	0
